"rand-read:","rand-read: latency","rand-write: latency","seq-write: latency","rand-write:","seq-write:","seq-read:","seq-read: latency","BlockSize"
"4311","228.60","139.87","139.66","6985","7029","4168","237.22","q1"
"9138","215.63","145.25","143.17","13467","13717","9085","217.52","q2"
"12527","316.50","223.61","225.11","17685","17605","12649","313.93","q4"
"17372","458.39","301.91","261.95","26324","30331","17047","467.56","q8"
"38501","413.74","459.83","400.03","34644","39844","39586","402.65","q16"
"56533","564.22","909.74","716.95","35097","44533","55648","573.51","q32"
"57932","1102.81","1835.24","1377.24","34832","46415","57929","1103.22","q64"
"58231","2196.04","3597.31","2847.11","35560","44929","58344","2192.11","q128"
"58720","4357.22","7202.81","2847.11","35530","46603","58602","4366.34","q256"
"58658","8724.79","14.44","11.14","35458","45939","58481","8751.15","q512"
"58596","17.47","28.89","22.26","35429","45988","58436","17.51","q1024"
